Time,T,R,V
0.0,-0.03155375304684945,-0.060695182111044174,0.05387736095778556
0.0025,-0.022101359238557626,-0.055510671521743125,0.07706453287923731
0.005,-0.0108650304831531,-0.049049043507916286,0.09994866118834264
0.0075,0.0013510376592094024,-0.04158432129266305,0.12084694474985731
0.01,0.013682678591987655,-0.03339778873488388,0.1381618852067281
0.0125,0.02528129737296514,-0.02476229489456434,0.15050852487059704
0.015,0.03538652752288703,-0.01593166733604196,0.15682579356354234
0.0175,0.04338943809487689,-0.007135567036572092,0.15646265852135816
0.02,0.04888066290664516,0.0014206347028892115,0.14923183792729933
0.0225,0.051679273219474416,0.009552035944242069,0.1354265334818847
0.025,0.05184004204286004,0.01708801005218132,0.11579873122246999
0.0275,0.04963878193830095,0.023865476480520505,0.09150084711624401
0.03,0.045537489164971,0.029723493545078337,0.06399557641557099
0.0325,0.04013290444014774,0.034500798942829404,0.034941476618826066
0.035,0.03409363001934754,0.03803747141344797,0.006063841485076703
0.0375,0.02809198226995791,0.040181267740350746,-0.02097836807219557
0.04,0.02273721209435415,0.040798476650905004,-0.04471848589540017
0.0425,0.01851655071585657,0.03978840974637379,-0.06399060832879451
0.045,0.015749752231645587,0.037100006059915466,-0.07801173303954137
0.0475,0.014561480728427185,0.03274854047992169,-0.08643103843258104
0.05,0.014874152670400674,0.026830160228866275,-0.08934262698610036
0.0525,0.016421857569942744,0.019531967797053823,-0.08726120878307228
0.055,0.018783928327053827,0.011135635262041584,-0.08106337754230399
0.0575,0.021434810328153697,0.0020130561831633066,-0.07190005328032166
0.06,0.023805267341423852,-0.007386728695923277,-0.0610880794155181
0.0625,0.025348816094427174,-0.016559226865558344,-0.04999065948788093
0.065,0.025606711217500775,-0.02497378505336228,-0.03989715564954486
0.0675,0.02426486593875603,-0.032108573772897414,-0.03191268030764576
0.07,0.021196790760756833,-0.03748862507451016,-0.02686690878411284
0.0725,0.01648790261256131,-0.04072376615074772,-0.02524972032472987
0.075,0.010438287152515966,-0.04154305888713019,-0.027178804800453392
0.0775,0.0035430298634863628,-0.0398224435852251,-0.03240147710676355
0.08,-0.0035486192333968425,-0.03560269896036556,-0.04032988095649712
0.0825,-0.010091916050591643,-0.02909554271159551,-0.05010581166793321
0.085,-0.01531800664606691,-0.02067664959112795,-0.06068880518308536
0.0875,-0.018511559415163262,-0.01086547369167714,-0.07095915441320397
0.09,-0.019087411734318865,-0.0002929276549711662,-0.07982629552856293
0.0925,-0.016658885492073505,0.01034091540382307,-0.08633265733912435
0.095,-0.011090989785126043,0.02031597794253977,-0.08974360911158659
0.0975,-0.002532927598644446,0.02894437257187068,-0.08961551852992355
0.1,0.008573942719875468,0.035621440625198564,-0.08583601011794069
0.1025,0.021514419738829293,0.03987143221758643,-0.07863310142142314
0.105,0.035343451511209205,0.041383992606918725,-0.06855275169293752
0.1075,0.04895289699703382,0.0400383351086969,-0.056407225620014656
0.11,0.061156038171473304,0.03591298411010967,-0.04319929412165841
0.1125,0.07078311966283213,0.029280174862641742,-0.030029431551258517
0.115,0.0767800461946852,0.02058529205042204,-0.017994635674845435
0.1175,0.07830188864558066,0.010412999411458129,-0.008088167808809632
0.12,0.07479308796397427,-0.0005571577875799535,-0.0011093329869214979
0.1225,0.06604719053572905,-0.01160201006958788,0.0024085812047201895
0.125,0.05224052496508924,-0.022008652771793334,0.002245814248806611
0.1275,0.03393630892063316,-0.031126553502712213,-0.0014850156746577196
0.13,0.012058081468380218,-0.038413670823489184,-0.008350190461884325
0.1325,-0.012166112531372675,-0.04347295342031424,-0.017635034419495623
0.135,-0.03728491927196998,-0.046076480490187435,-0.02840905826682938
0.1375,-0.061724246723742576,-0.04617562580135358,-0.03961002571289672
0.14,-0.08389954387212739,-0.04389687408119052,-0.05013922093261774
0.1425,-0.10233109001094752,-0.03952417224372804,-0.05895926963946973
0.145,-0.11575327631363069,-0.03346984299409534,-0.0651857332758337
0.1475,-0.12320928435655876,-0.026237019516011446,-0.06816435760975226
0.15,-0.12412369532622486,-0.018377193786293957,-0.06752724380321445
0.1525,-0.11834730424839604,-0.010446753591220274,-0.06322318665290805
0.155,-0.1061706192265448,-0.0029662951208717283,-0.055519803951428484
0.1575,-0.08830501127119346,0.003613944119312706,-0.04497764118733975
0.16,-0.06583303826782906,0.00893993231014348,-0.03239894188952365
0.1625,-0.04013188485163775,0.012769338122223617,-0.01875599874275223
0.165,-0.012775939939105559,0.014976130509304922,-0.0051057459492028995
0.1675,0.01457389265021251,0.015544839858214166,0.007501632300041381
0.17,0.04028561129224766,0.01455603468818084,0.018111910380978105
0.1725,0.06286747756253745,0.012165365037644644,0.02594603410763969
0.175,0.08106700145218763,0.008579041915643189,0.030462580317124534
0.1775,0.09395035405064442,0.004028813423812698,0.0313983526417835
0.18,0.10095668847103777,-0.001250651558255633,0.028784080154475013
0.1825,0.10192393310468896,-0.007039530064771085,0.022934494034876535
