Time,T,R,V
0.0,0.043827838828259344,-0.008624457624805014,-0.0009244549262981936
0.0025,0.04929170079839616,0.00169433666632899,0.008735685972739424
0.005,0.056146412876848115,0.010792539544587355,0.017447293394958596
0.0075,0.06380627036015922,0.017950409463960024,0.02452200954425689
0.01,0.071578713792669,0.02256176139408669,0.029305204627522705
0.0125,0.07871902484246035,0.02419437940609631,0.03123384295319285
0.015,0.08448928023385259,0.02263897492776326,0.02989251806803589
0.0175,0.08821684325003093,0.017941322345252447,0.025062287507529615
0.02,0.08934776743520256,0.0104135330096581,0.01675724411855054
0.0225,0.08749096747655151,0.0006222094852330537,0.005244570830681628
0.025,0.08244982879122045,-0.01064670327398487,-0.008954917282371473
0.0275,0.0742390024825516,-0.02244437448958632,-0.025087137284609647
0.03,0.06308536755646096,-0.033732779656416335,-0.04220559246282379
0.0325,0.04941342758835495,-0.04346978222549813,-0.05923044393062347
0.035,0.033816633108388276,-0.050698466147485445,-0.07502179756685015
0.0375,0.017017181335962982,-0.05463290551366439,-0.08846176477867602
0.04,-0.00018234314747712774,-0.054732582117435556,-0.09853884916833701
0.0425,-0.016951619436223503,-0.05075840407495813,-0.10442774373486285
0.045,-0.032485500441877486,-0.04280469001997266,-0.10555775378152416
0.0475,-0.04605332190995533,-0.031303451631954526,-0.10166379470688444
0.05,-0.057041229293187876,-0.01699966592637942,-0.09281520165611806
0.0525,-0.06498487078163134,-0.0008987716404889412,-0.07941932827582328
0.055,-0.06959070785942494,0.01580987631725378,-0.062198959955207876
0.0575,-0.07074518349375042,0.03184763214989558,-0.0421447476091655
0.06,-0.06851197135686549,0.0459515528569766,-0.020445990737092343
0.0625,-0.06311842185571814,0.05698094683010114,0.0015950253616351206
0.065,-0.05493305009093845,0.06401632065260929,0.022658473047695638
0.0675,-0.044436424595052156,0.06644202817278765,0.041504631345071576
0.07,-0.03218808470482683,0.06400516374343782,0.05706589267753069
0.0725,-0.018792134597786166,0.056845158957118974,0.06852567519951433
0.075,-0.004863953238438242,0.045490979293876806,0.07537782440000333
