Time,T,R,V
0.0,-0.0076687045764949465,0.10360549555706008,0.03930239339454147
0.0025,0.004937747407886074,0.09863091644215662,0.02370980179906832
0.005,0.01962300276209276,0.09210232877443668,0.007452412200707368
0.0075,0.035605432112105984,0.08444056919966379,-0.00822385128140659
0.01,0.0519735057682698,0.07608318515321437,-0.022048828104784774
0.0125,0.06774785249174463,0.06744570065719754,-0.03283776068723403
0.015,0.08194998926157064,0.05888955777729347,-0.039594974170196195
0.0175,0.09367260191050822,0.05069927822132767,-0.04160225775062467
0.02,0.10214602896272888,0.04307033436304417,-0.03848403555426567
0.0225,0.10679579215701668,0.03610806871959645,-0.03024355879428743
0.025,0.10728662060372364,0.02983686700254902,-0.017267007552278325
0.0275,0.10354939125708465,0.024217779270920926,-0.00029530950065893125
0.03,0.09578868518340307,0.01917198925980412,0.019633608649294868
0.0325,0.0844701397790241,0.014607024041615513,0.041266792847615114
0.035,0.07028834591615006,0.010442416705555272,0.06323500520898058
0.0375,0.054117570880195406,0.006631693752319524,0.08415939182076897
0.04,0.03694895860152814,0.003178034168992168,0.1027566636671736
0.0425,0.019818954843127092,0.00014168675975956396,0.11793369021777614
0.045,0.003734434097979635,-0.002361840061250063,0.12886354962945146
0.0475,-0.01039969692996564,-0.004172779428736456,0.1350369386587195
0.05,-0.02184480668531108,-0.005106245703360673,0.13628523417979319
0.0525,-0.030079759089964863,-0.004977550640205404,0.1327741835573825
0.055,-0.034835070708601854,-0.0036310195133466604,0.1249699245783068
0.0575,-0.03610737788900181,-0.0009691809604787142,0.113581538289727
0.06,-0.03415315634065399,0.003020936346753494,0.09948638533035296
0.0625,-0.02946229814292359,0.008247483928096901,0.08364588017709931
0.065,-0.022713771037670125,0.014502043193801278,0.06701999441881355
0.0675,-0.0147170284430631,0.021458282953121195,0.05048860157799584
0.07,-0.006343985783446366,0.028681915301661712,0.03478681360689758
0.0725,0.001542866971283598,0.03565178689356099,0.020459820352301122
0.075,0.008160349604001063,0.04179088094118364,0.007840600224451664
0.0775,0.012866792606843617,0.046505034148403325,-0.002948557203428808
0.08,0.015211531441242735,0.04922638266201938,-0.01197224237516041
0.0825,0.01496774428450976,0.04945801610729692,-0.019439614749011166
0.085,0.012146084991156514,0.04681608983792792,-0.025649199607359195
0.0875,0.006988175725557695,0.0410657459959666,-0.03092761675551675
0.09,-5.9287593280840434e-05,0.032147617496369144,-0.03556955019031755
0.0925,-0.008387441508853951,0.020192400316926942,-0.0397859802411078
0.095,-0.0172813784999619,0.005521917545385549,-0.043666673869389924
0.0975,-0.025984598342910798,-0.011363817453050528,-0.04716127343707871
0.1,-0.033766220187855224,-0.02981289525144183,-0.05008121149981358
0.1025,-0.03998518542808848,-0.049059427947678355,-0.05212232763620609
0.105,-0.044145971198715904,-0.06827040454763486,-0.052905716262441164
0.1075,-0.04594109187291544,-0.08659806658107087,-0.05203223556258428
0.11,-0.04527682626211044,-0.10323393489386344,-0.049144476983680734
0.1125,-0.04228007158829964,-0.11746048367691786,-0.043989006134769824
0.115,-0.03728586555709445,-0.12869664798874014,-0.036471449681461564
0.1175,-0.030806793357056734,-0.13653384681316963,-0.0266975540821378
0.12,-0.023487062164416588,-0.14075995978512995,-0.014994636578028709
0.1225,-0.016045346016852372,-0.14136964547142022,-0.0019097668162812904
0.125,-0.009211464100156072,-0.1385604507388749,0.011816625683516687
0.1275,-0.003662472078436675,-0.13271524482362096,0.025300458918449873
0.13,3.622586220960645e-05,-0.12437252904852006,0.03758324631555491
0.1325,0.0014795994595621425,-0.11418704254134161,0.04771490088117778
0.135,0.0004573177278285282,-0.1028837394258971,0.05484243685339378
0.1375,-0.00302927090165211,-0.09120860756472379,0.05829595298111103
0.14,-0.00876891076784774,-0.0798799102851138,0.05766315624168717
0.1425,-0.016360707609356977,-0.06954326252610037,0.05284442629447906
0.145,-0.025250999263454334,-0.060733526971990304,0.044081979911745034
0.1475,-0.03478346472574381,-0.0538458798702204,0.03195894074945526
0.15,-0.0442579376684385,-0.04911761179869981,0.01736685312657881
0.1525,-0.052992623309751394,-0.0466213665611774,0.0014431473779111252
0.155,-0.06038412174698415,-0.04626965536889503,-0.014517011036735757
0.1575,-0.0659598633833025,-0.04782968341260487,-0.02916745791706774
0.16,-0.06941824568816264,-0.050946851946714444,-0.04122730567682467
0.1625,-0.07065286533510097,-0.055174796624984285,-0.04959648494697734
0.165,-0.06975866833544146,-0.060009519801883335,-0.053459979375739666
0.1675,-0.06701946670313769,-0.06492507946123946,-0.052370857773891485
0.17,-0.06287794913203079,-0.069408400329915,-0.04630382319900972
0.1725,-0.05789089570009516,-0.07299104715028716,-0.035673424200480086
0.175,-0.05267365142064688,-0.07527620685717609,-0.021314102984595375
0.1775,-0.04783889993354899,-0.07595961830276109,-0.004422622268530804
0.18,-0.04393531766404124,-0.07484371505733269,0.01353318560601452
0.1825,-0.04139173078938,-0.07184476073320456,0.03093227844500306
0.185,-0.04047193681784538,-0.06699321599500116,0.046135246426516306
0.1875,-0.04124442866028285,-0.06042795091885093,0.0576247643055117
0.19,-0.04356995225697732,-0.05238518704605891,0.06413951997094518
0.1925,-0.047108253902511846,-0.04318321485565254,0.06478979543116016
0.195,-0.051343669353895095,-0.033203991289024286,0.05914424650546053
0.1975,-0.055627524450879755,-0.022872695438763732,0.04727975131963194
0.2,-0.05923380563845304,-0.01263623266538484,0.02978928044404811
0.2025,-0.061423352962206426,-0.002941555629787549,0.007746317509322544
0.205,-0.06151103549398378,0.0057854582039001245,-0.017371884751139398
0.2075,-0.058930060973930394,0.013159946609354309,-0.043796324433043717
0.21,-0.053287776112705715,0.01885627701714619,-0.0696045286085162
0.2125,-0.04440801443837293,0.02262403779488723,-0.09287369948326216
0.215,-0.03235618378894378,0.024301320448099722,-0.1118359392642294
0.2175,-0.01744475597606263,0.02382479616291157,-0.12502246979304876
0.22,-0.00021849750344214423,0.021236075888185196,-0.1313846060798124
0.2225,0.018579484949524577,0.016683847789524676,-0.1303811556860016
0.225,0.03805816978032619,0.010421332082607107,-0.1220247349231103
0.2275,0.05724139915295312,0.002798700140732335,-0.10688297337615489
0.23,0.07513785157347481,-0.00574971541963694,-0.08603441627197884
0.2325,0.0908124573638058,-0.0147233377103931,-0.06098279342540068
0.235,0.10345341539947987,-0.02357798567541733,-0.03353686553815371
0.2375,0.11242938493458299,-0.03175246502647849,-0.00566597330891613
0.24,0.11733230820268173,-0.03869795351941793,0.020656552129740484
0.2425,0.1180025867570109,-0.04390866236456011,0.04360898319157323
0.245,0.11453487231216497,-0.046951958531966605,0.06166282314363814
0.2475,0.10726440286479516,-0.04749594187565371,0.07369877819932592
0.25,0.09673546792084468,-0.04533242227015716,0.07908766928837556
0.2525,0.08365507618740364,-0.040393360920519136,0.07772995626358964
0.255,0.06883609439405461,-0.03275913799280501,0.07005114413578054
0.2575,0.05313492388001383,-0.022657480046903784,0.056954137254369756
0.26,0.03738911589581039,-0.01045250167796022,0.03973326856179342
0.2625,0.022360173498949747,0.003375954817591454,0.0199579374295628
0.265,0.008686168255018925,0.01826171586679245,-0.0006637352105337004
0.2675,-0.00315222319351128,0.033588674718347124,-0.02042929031530005
0.27,-0.012849984849194569,0.048731772628077374,-0.03778193587625771
0.2725,-0.02027955647332475,0.0630996135876044,-0.05143437373587641
0.275,-0.025476926366568352,0.07617544529786752,-0.0604662841983487
0.2775,-0.028614224019690278,0.08755317922319927,-0.0643877998375002
0.28,-0.029962209352083696,0.09696534459683963,-0.06316441976369541
0.2825,-0.029846901708626163,0.10430037484257504,-0.05720227316729369
0.285,-0.02860501504245908,0.10960738378542799,-0.047296123507720916
0.2875,-0.026542831008372948,0.11308755195442993,-0.034545702291290274
0.29,-0.02390265771590269,0.11507233718568519,-0.020248594667683178
0.2925,-0.020840139804469023,0.11598985935222768,-0.005779744212224427
0.295,-0.017414493994495527,0.1163218882628647,0.007531447761652575
0.2975,-0.013592361100510647,0.11655478818309062,0.018515544041313912
0.3,-0.009264526320719458,0.11712845236346914,0.026259190703450497
0.3025,-0.004273405130982713,0.11838762410027838,0.030175023204997847
0.305,0.0015519453127182546,0.12053999966360643,0.030040023447467187
0.3075,0.008357338231742707,0.12362512561360631,0.025999979671985328
0.31,0.01622594206488721,0.1274973544473762,0.01854082163553279
0.3125,0.025146138490460997,0.13182505719667223,0.008430570155301081
0.315,0.03498865828438583,0.13610698868503873,-0.003361813869565033
0.3175,0.045496002712888395,0.13970526406097686,-0.015762492878665216
0.32,0.05628594462324362,0.14189295331699536,-0.027694439107763993
0.3225,0.06686948908569965,0.14191295906761534,-0.038175236361884135
0.325,0.07668219449832726,0.13904373217926283,-0.046402152209004725
0.3275,0.08512635515664126,0.13266660437849107,-0.05181709638055676
0.33,0.09162036297652638,0.12232915557973092,-0.05414618434154517
0.3325,0.09565071767360359,0.10779913187505709,-0.053411159109322134
0.335,0.09682172892187388,0.08910399503069023,-0.04991264252936481
0.3375,0.09489799924157337,0.06655218290470774,-0.04418783080867814
0.34,0.08983529673562123,0.04073352101334113,-0.03694757238837904
0.3425,0.08179638130479913,0.01249784391412765,-0.028999558965590935
0.345,0.07114965385499301,-0.017087368403444533,-0.021165466952034393
0.3475,0.05845003805263428,-0.046797803153050904,-0.014200219264416131
0.35,0.0444031373567832,-0.07532747138165133,-0.008721083430038152
0.3525,0.02981528447464041,-0.1013728317293903,-0.005153143578524725
0.355,0.015533467425203246,-0.12371964299674297,-0.0036959103256670564
0.3575,0.002380144633842616,-0.14132593670604518,-0.004313646950087566
0.36,-0.008911450806196233,-0.15339466182887998,-0.006749611085092325
0.3625,-0.017755832562623294,-0.15943024258135505,-0.010562070791844574
0.365,-0.023762357108840566,-0.1592744583335191,-0.015177876301349442
0.3675,-0.026766564933597213,-0.15311861280214448,-0.01995774825660382
0.37,-0.02684276958430151,-0.14149078437264112,-0.02426642670219216
0.3725,-0.024296523828042118,-0.12521889334894987,-0.02754049836865645
