Time,T,R,V
0.0,0.05232352452520662,-0.08837612813103699,0.0032269053714492433
0.0025,0.0436632257333864,-0.07473682265361278,0.019459875662549073
0.005,0.03416354608608532,-0.05875494419118099,0.03265399834213985
0.0075,0.024690244127472914,-0.04109237414537857,0.04239895327614279
0.01,0.016056484703477498,-0.02253699005384674,0.04851963273690491
0.0125,0.00896068413668924,-0.003942320693348851,0.05107949932693054
0.015,0.003935339761437727,0.013837337976360966,0.05036655275710288
0.0175,0.0013108755007177491,0.03001063992419351,0.04686357550140556
0.02,0.001197185248022231,0.04390628575786538,0.04120551657048167
0.0225,0.003483989706527604,0.05501879743745854,0.03412778710525416
0.025,0.007859482125209356,0.06303943727017929,0.02640981273694991
0.0275,0.013845171627282857,0.06787019954180695,0.018818378973667622
0.03,0.020843479015071775,0.06962041159293743,0.0120551146451061
0.0325,0.028193617644319744,0.06858707710358371,0.006711915415711496
0.035,0.035230688138126534,0.06522152376923045,0.003237274945366703
0.0375,0.04134277790955133,0.060086046410820604,0.001915449152961311
0.04,0.046021188807240765,0.05380496383138732,0.0028592280377898603
0.0425,0.04889967943569243,0.04701477488396137,0.006015934183269266
0.045,0.0497797243065378,0.04031789532929663,0.01118520807217602
0.0475,0.0486401499177699,0.034243819070573826,0.018046265504157163
0.05,0.0456309772602915,0.029220555436815142,0.02619168920213444
0.0525,0.04105274194426166,0.02555796283425655,0.03516448687525076
0.055,0.03532384287920658,0.02344326474911014,0.044495124775004016
0.0575,0.028939471567829226,0.02294774073239162,0.05373551372340403
0.06,0.022426308371027145,0.024042469027326114,0.062487442284223836
0.0625,0.016297387878488043,0.026620173587074195,0.07042365672169654
0.065,0.01101132211433853,0.030519777537243914,0.07730060290552487
0.0675,0.00693945862959561,0.03555022709803193,0.08296268825332473
0.07,0.004343609596640777,0.04151051849437021,0.08733871085459716
0.0725,0.0033658178287466387,0.04820358479974942,0.09043176635647084
0.075,0.004030347127402336,0.05544269045304021,0.09230442535490245
0.0775,0.006256827334925222,0.06305011972015684,0.09306124006552235
0.08,0.009882374837093064,0.07084909675083746,0.09283067738095055
0.0825,0.014689656625100118,0.07865090256727211,0.09174839789299667
0.085,0.02043735298808874,0.08623993498289759,0.08994344008141991
0.0875,0.02688934804450764,0.09335989449882344,0.08752837556625645
0.09,0.03383924664239076,0.09970431362745452,0.08459393609148318
0.0925,0.041127448474407885,0.10491426428971609,0.08120804108882275
0.095,0.0486489365117056,0.10858531012058852,0.07741863895811942
0.0975,0.05635105813594323,0.11028469399381631,0.0732593691789647
