Time,T,R,V
0.0,0.02666031248447311,0.034773246748550146,-0.006369443440023754
0.0025,0.03401461948898936,0.01440375942667269,-0.0030644900215934007
0.005,0.03773278272334933,-0.007467554487437879,0.00031156957885880007
0.0075,0.03784535786470768,-0.029916087850261324,0.0033617845056723183
0.01,0.03468898585592589,-0.05187318795447109,0.005741376014004504
0.0125,0.02887539235086256,-0.0721936217275602,0.007187358944729046
0.015,0.021236474322720127,-0.0897351651133387,0.007540043467204458
0.0175,0.012750351267884843,-0.10344438727044708,0.006754514706507004
0.02,0.004454930197689692,-0.11244181504231368,0.004901127026994886
0.0225,-0.0026433858885458383,-0.11609933226878756,0.0021550755044500635
0.025,-0.007657821872561053,-0.11410294438348234,-0.0012238752552268882
0.0275,-0.009898486221616303,-0.10649492182443684,-0.004919509202326756
0.03,-0.008932066698980544,-0.09369077281638716,-0.00859239895221773
0.0325,-0.004618872854999701,-0.07646838315034259,-0.011915067550209093
0.035,0.0028758273920951563,-0.05592885081499373,-0.01460569351055271
0.0375,0.013096934388539191,-0.03343085860860368,-0.016457116661404463
0.04,0.025339522462712816,-0.010502673634324175,-0.0173583398049838
0.0425,0.03870996442955174,0.011262155469985805,-0.0173064202302584
0.045,0.05220259812215582,0.030317791662710928,-0.016407541734405565
0.0475,0.06478506137724062,0.04527922481519197,-0.014867069988151915
0.05,0.07548475580792502,0.05502666689800844,-0.01296942922048773
0.0525,0.08346891679844015,0.05879283394420831,-0.011049601574373576
0.055,0.08811145707213873,0.05622587456465539,-0.00945885384759569
0.0575,0.08904104227162585,0.047422481020334147,-0.008527865894921742
0.06,0.08616662356734131,0.032927983301564163,-0.008530718052078714
0.0625,0.07967872682194709,0.013702799907737442,-0.009653164697270115
0.065,0.07002698676694806,-0.008942707983122057,-0.011968278835896582
0.0675,0.05787651668228976,-0.03344038072632942,-0.01542192774363305
0.07,0.04404752879457918,-0.05807658905710256,-0.019829686931245694
0.0725,0.02944400599077626,-0.08111624373376777,-0.02488579409494521
0.075,0.014978052477637095,-0.10092896512495153,-0.03018367504090007
0.0775,0.0014967542057693405,-0.11610764063609583,-0.03524653431712082
0.08,-0.01028204740353745,-0.125570141489846,-0.03956558630712229
0.0825,-0.01981967058841128,-0.12863627117731638,-0.04264278895738785
0.085,-0.026788278461856333,-0.12507397391750874,-0.044034495407323036
0.0875,-0.03108222051852711,-0.11511128455409649,-0.04339229852902568
0.09,-0.03280887207634823,-0.09941325017883361,-0.04049752301132778
0.0925,-0.03226073264034639,-0.07902587079823314,-0.0352863046360037
0.095,-0.02987224748530676,-0.05529175691860497,-0.027862945941114478
0.0975,-0.02616614757513235,-0.029744464348045088,-0.018500188024353048
